一	yī
举世闻名	jǔshìwénmíng
举例	jǔlì
举办	jǔbàn
举动	jǔdòng
举手	jǔshǒu
举报	jǔbào
举措	jǔcuò
举止	jǔzhǐ
举行	jǔxíng
举足轻重	jǔzúqīngzhòng
举重	jǔzhòng
乃	nǎi
乃是	nǎishì
乃至	nǎizhì
久	jiǔ
久仰	jiǔyǎng
久而久之	jiǔérjiǔzhī
久远	jiǔyuǎn
久违	jiǔwéi
义务	yìwù
义工	yìgōng
之	zhī
之一	zhīyī
之下	zhīxià
之中	zhīzhōng
之内	zhīnèi
之前	zhīqián
之后	zhīhòu
之外	zhīwài
之所以	zhīsuǒyǐ
之类	zhīlèi
之间	zhījiān
乌云	wūyún
乌鸦	wūyā
乌黑	wūhēi
乌龙茶	wūlóngchá
乌龟	wūguī
乏味	fáwèi
乐	lè
乐于	lèyú
乐器	yuèqì
乐团	yuètuán
乐园	lèyuán
乐意	lèyì
乐曲	yuèqǔ
乐观	lèguān
乐趣	lèqù
乐队	yuèduì
乒乓球	pīngpāngqiú
乔装	qiáozhuāng
乖	guāi
乖巧	guāiqiǎo
乘	chéng
乘人之危	chéngrénzhīwēi
乘坐	chéngzuò
乘客	chéngkè
乘机	chéngjī
乘车	chéngchē
乙	yǐ
九	jiǔ
乞丐	qǐgài
乞求	qǐqiú
乞讨	qǐtǎo
也	yě
也好	yěhǎo
也就是说	yějiùshìshuō
也许	yěxǔ
习俗	xísú
习得	xídé
习性	xíxìng
习惯	xíguàn
习题	xítí
乡	xiāng
乡下	xiāngxià
乡亲	xiāngqīn
乡土	xiāngtŭ
乡村	xiāngcūn
乡民	xiāngmín
书	shū
书写	shūxiě
书包	shūbāo
书店	shūdiàn
书房	shūfáng
书本	shūběn
书架	shūjià
书柜	shūguì
书桌	shūzhuō
书橱	shūchú
书法	shūfǎ
书籍	shūjí
书记	shūjì
书面	shūmiàn
买	mǎi
买不起	mǎibùqǐ
买主	măizhŭ
买单	măidān
买卖	mǎimài
乱	luàn
乱七八糟	luànqībāzāo
乱世	luànshì
乳制品	rǔzhìpǐn
了	le
了不起	liǎobùqǐ
了却	liǎoquè
了结	liǎojié
了解	liǎojiě
予	yŭ
予以	yǔyǐ
争	zhēng
争先恐后	zhēngxiānkǒnghòu
争光	zhēngguāng
争分夺秒	zhēngfēnduómiǎo
争取	zhēngqǔ
争吵	zhēngchǎo
争夺	zhēngduó
争执	zhēngzhí
争气	zhēngqì
争相	zhēngxiāng
争端	zhēngduān
争议	zhēngyì
争论	zhēnglùn
争辩	zhēngbiàn
事	shì
事业	shìyè
事件	shìjiàn
事先	shìxiān
事务	shìwù
事务所	shìwùsuǒ
事变	shìbiàn
事后	shìhòu
事宜	shìyí
事实	shìshí
事实上	shìshíshàng
事态	shìtài
事情	shìqíng
事故	shìgù
事物	shìwù
事迹	shìjì
事项	shìxiàng
二	èr
二手	èrshǒu
二手车	èrshǒuchē
二氧化碳	èryǎnghuàtàn
二维码	èrwéimǎ
于	yú
于是	yúshì
亏	kuī
亏损	kuīsǔn
亏本	kuīběn
云	yún
互信	hùxìn
互动	hùdòng
互助	hùzhù
互惠	hùhuì
互相	hùxiāng
互联网	hùliánwǎng
互补	hùbǔ
互访	hùfǎng
五	wǔ
五官	wǔguān
五星级	wǔxīngjí
五花八门	wǔhuābāmén
五金	wŭjīn
五颜六色	wǔyánliùsè
井	jǐng
亚军	yàjūn
亚洲	yàzhōu
亚运会	yàyùnhuì
些	xiē
些微	xiēwéi
些许	xiēxǔ
亡国	wángguó
亡羊补牢	wángyángbǔláo
交	jiāo
交互	jiāohù
交付	jiāofù
交代	jiāodài
交叉	jiāochā
交友	jiāoyŏu
交响乐	jiāoxiǎngyuè
交头接耳	jiāotóujiēěr
交往	jiāowǎng
交情	jiāoqíng
交战	jiāozhàn
交换	jiāohuàn
交接	jiāojiē
交易	jiāoyì
交替	jiāotì
交朋友	jiāopéngyǒu
交流	jiāoliú
交涉	jiāoshè
交界	jiāojiè
交纳	jiāonà
交织	jiāozhī
交给	jiāogěi
交警	jiāojǐng
交谈	jiāotán
交货	jiāohuò
交费	jiāofèi
交通	jiāotōng
交锋	jiāofēng
交错	jiāocuò
交际	jiāojì
交集	jiāojí
亦	yì
产	chǎn
产业	chǎnyè
产值	chǎnzhí
产品	chǎnpǐn
产地	chǎndì
产物	chǎnwù
产生	chǎnshēng
产量	chǎnliàng
亩	mǔ
享	xiǎng
享乐	xiǎnglè
享受	xiǎngshòu
享有	xiǎngyǒu
享用	xiǎngyòng
京剧	jīngjù
亮	liàng
亮丽	liànglì
亮光	liàngguāng
亮晶晶	liàngjīngjīng
亮点	liàngdiǎn
亮相	liàngxiàng
亮眼	liàngyǎn
亲	qīn
亲人	qīnrén
亲信	qīnxìn
亲切	qīnqiè
亲友	qīnyǒu
亲口	qīnkŏu
亲吻	qīnwěn
亲和力	qīnhélì
亲密	qīnmì
亲属	qīnshǔ
亲情	qīnqíng
亲戚	qīnqī
亲手	qīnshǒu
亲朋好友	qīnpénghǎoyǒu
亲热	qīnrè
亲爱	qīnài
亲生	qīnshēng
亲眼	qīnyǎn
亲笔	qīnbǐ
亲自	qīnzì
亲身	qīnshēn
亲近	qīnjìn
人	rén
人世	rénshì
人为	rénwéi
人事	rénshì
人人	rénrén
人们	rénmen
人体	réntǐ
人力	rénlì
人口	rénkǒu
人员	rényuán
人命	rénmìng
人品	rénpǐn
人均	rénjūn
人士	rénshì
人头	réntóu
人家	rénjiā
人工	réngōng
人工智能	réngōngzhìnéng
人影	rényǐng
人心	rénxīn
人性	rénxìng
人情	rénqíng
人情味	rénqíngwèi
人手	rénshǒu
人才	réncái
人数	rénshù
人文	rénwén
人权	rénquán
人格	réngé
人次	réncì
人民	rénmín
人民币	rénmínbì
人气	rénqì
人物	rénwù
人生	rénshēng
人祸	rénhuò
人类	rénlèi
人缘儿	rényuánér
人群	rénqún
人脉	rénmài
人行道	rénxíngdào
人质	rénzhì
人身	rénshēn
人选	rénxuǎn
人造	rénzào
人道	réndào
人间	rénjiān
人际	rénjì
人马	rénmǎ
亿	yì
什么	shénme
什么样	shénmeyàng
仁	rén
仁义	rényì
仁慈	réncí
仁爱	rénài
仅	jǐn
仅仅	jǐnjǐn
仅有	jǐnyǒu
仅次于	jǐncìyú
仆人	púrén
仇	chóu
仇人	chóurén
仇恨	chóuhèn
今后	jīnhòu
今天	jīntiān
今年	jīnnián
今日	jīnrì
介于	jièyú
介入	jièrù
介意	jièyì
介绍	jièshào
介面	jièmiàn
仍	réng
仍旧	réngjiù
仍然	réngrán
从	cóng
从不	cóngbù
从业	cóngyè
从中	cóngzhōng
从事	cóngshì
从今以后	cóngjīnyǐhòu
从前	cóngqián
从头	cóngtóu
从容	cóngróng
从容不迫	cóngróngbùpò
从小	cóngxiǎo
从早到晚	cóngzǎodàowǎn
从未	cóngwèi
从来	cónglái
从来不	cóngláibù
从此	cóngcǐ
从没	cóngméi
从而	cóngér
仓促	cāngcù
仓库	cāngkù
仔细	zǐxì
仕女	shìnǚ
他	tā
他人	tārén
他们	tāmen
仗	zhàng
付	fù
付出	fùchū
付款	fùkuǎn
付费	fùfèi
仙丹	xiāndān
仙女	xiānnǚ
仙鹤	xiānhè
代	dài
代价	dàijià
代号	dàihào
代替	dàitì
代沟	dàigōu
代理	dàilǐ
代理人	dàilǐrén
代表	dàibiǎo
代表团	dàibiǎotuán
代言人	dàiyánrén
代课	dàikè
令	lìng
以	yǐ
以上	yǐshàng
以下	yǐxià
以为	yǐwéi
以便	yǐbiàn
以免	yǐmiǎn
以内	yǐnèi
以前	yǐqián
以及	yǐjí
以后	yǐhòu
以外	yǐwài
以往	yǐwǎng
以来	yǐlái
以至	yĭzhì
以至于	yǐzhìyú
以致	yǐzhì
以身作则	yǐshēnzuòzé
以防	yǐfáng
仪器	yíqì
仪式	yíshì
仪表	yíbiǎo
们	men
仰	yǎng
仰慕	yăngmù
仰望	yǎngwàng
仰赖	yǎnglài
仲裁	zhòngcái
件	jiàn
价	jià
价位	jiàwèi
价值	jiàzhí
价值观	jiàzhíguān
价格	jiàgé
价钱	jiàqián
任	rèn
任人宰割	rènrénzǎigē
任何	rènhé
任凭	rènpíng
任务	rènwù
任命	rènmìng
任性	rènxìng
任意	rènyì
任教	rènjiào
任期	rènqī
任用	rènyòng
任由	rènyóu
任职	rènzhí
份	fèn
份额	fèné
仿	fǎng
仿佛	fǎngfú
仿冒	făngmào
仿制	fǎngzhì
仿造	făngzào
企业	qǐyè
企图	qǐtú
企画	qìhuà
伊斯兰教	yīsīlánjiào
休	xiū
休假	xiūjià
休克	xiūkè
休养	xiūyǎng
休息	xiūxī
休想	xiūxiǎng
休眠	xiūmián
休闲	xiūxián
众人	zhòngrén
众多	zhòngduō
众志成城	zhòngzhìchéngchéng
众所周知	zhòngsuǒzhōuzhī
优	yōu
优先	yōuxiān
优劣	yōuliè
优势	yōushì
优化	yōuhuà
优异	yōuyì
优待	yōudài
优惠	yōuhuì
优点	yōudiǎn
优秀	yōuxiù
优美	yōuměi
优良	yōuliáng
优质	yōuzhì
优越	yōuyuè
优雅	yōuyǎ
伙	huǒ
伙伴	huǒbàn
伙食	huǒshí
会	huì
会合	huìhé
会员	huìyuán
会场	huìchǎng
会意	huìyì
会晤	huìwù
会见	huìjiàn
会计	kuàijì
